82,50,193
56,67,194
46,40,130
61,51,173
73,60,202
28,4,47
25,69,169
86,32,159
34,50,142
28,10,52
28,90,215
34,88,218
8,89,196
40,41,133
79,21,129
29,91,218
49,51,156
87,73,242
35,7,55
56,93,255
58,68,203
20,49,122
1,29,70
43,65,186
65,87,247
28,67,167
82,7,107
16,64,154
97,45,192
61,35,143
12,96,209
75,34,154
26,32,95
14,82,184
13,87,199
77,16,119
36,43,133
38,1,51
26,33,98
78,50,191
84,86,263
67,11,102
24,16,69
42,78,206
17,82,188
17,14,49
59,9,89
20,40,109
21,1,31
25,29,95
92,19,135
38,65,179
25,85,199
85,15,128
65,95,264
74,17,112
72,71,224
51,52,165
97,78,258
3,53,114
17,95,219
73,52,185
6,21,61
37,76,196
1,11,28
86,4,106
73,12,108
89,68,231
30,4,46
52,55,166
58,8,83
68,57,188
27,37,106
26,70,178
45,87,228
24,98,229
31,5,51
50,2,66
17,94,211
58,97,257
63,92,253
70,68,215
75,46,176
10,75,165
36,65,174
77,10,101
79,12,109
96,81,262
24,7,46
43,15,78
52,83,228
99,44,193
89,62,222
89,74,245
95,22,146
63,40,155
4,29,66
69,5,88
82,15,121
9,68,154
58,12,86
97,25,160
89,24,148
30,50,138
30,43,121
67,14,99
51,85,228
47,90,233
47,17,89
20,27,79
63,29,133
52,61,182
59,28,122
78,8,101
25,58,151
17,36,94
59,21,109
60,49,162
52,33,125
91,97,297
26,51,135
67,28,130
9,56,129
1,73,156
46,26,107
7,95,208
92,16,130
65,65,199
85,3,101
27,70,172
9,86,192
43,94,235
83,5,100
3,6,19
93,42,187
48,79,213
73,62,206
42,99,247
87,39,177
73,70,222
54,36,130
95,36,174
91,29,155
7,43,101
47,2,56
71,42,161
10,90,197
1,29,64
27,80,195
92,20,142
6,41,99
43,2,55
6,34,81
13,64,153
5,76,163
88,65,224
11,74,165
48,91,236
19,29,83
30,17,69
21,26,77
9,54,129
16,32,93
6,35,86
26,27,92
7,4,20
59,62,193
26,14,65
49,22,105
19,96,215
55,35,136
27,14,59
36,79,203
6,11,38
47,48,148
76,40,165
79,31,151
15,95,212
8,13,42
69,95,266
62,40,149
62,72,210
75,96,280
68,79,230
53,56,177
96,76,252
49,88,230
21,43,116
65,10,94
57,46,160
17,33,95
75,73,233
71,80,241
20,47,121
80,69,231
78,57,198
24,76,181
65,61,196
83,70,228
34,59,163
